DATE	CFNAI	EXCAUS	EXCHUS	EXUSEU	HOUST	INDPRO	MCOILWTICO	PSAVERT	TOTALSA	UMCSENT	UNRATE
2000-01-01	0.42	1.4486	8.2792	1.0131	1636	94.7615	27.26	4.7	18.6	112.0	4.0
2000-02-01	-0.28	1.4512	8.2781	0.9834	1737	95.0664	29.37	4.2	19.4	111.3	4.1
2000-03-01	0.67	1.4608	8.2786	0.9643	1604	95.4649	29.84	3.9	18.3	107.1	4.0
2000-04-01	0.73	1.4689	8.2793	0.9449	1626	96.1873	25.72	4.4	17.9	109.2	3.8
2000-05-01	-0.65	1.4957	8.2781	0.9059	1575	96.3963	28.79	4.3	17.9	110.7	4.0
2000-06-01	0.15	1.4770	8.2772	0.9505	1559	96.4880	31.82	4.2	17.6	106.4	4.0
2000-07-01	-0.33	1.4778	8.2794	0.9386	1463	96.3860	29.70	4.6	17.3	108.3	4.0
2000-08-01	-0.67	1.4828	8.2796	0.9045	1541	96.0455	31.26	4.6	17.5	107.3	4.1
2000-09-01	0.41	1.4864	8.2785	0.8695	1507	96.4354	33.88	3.8	18.7	106.8	3.9
2000-10-01	-0.70	1.5125	8.2785	0.8525	1549	96.1096	33.11	4.0	17.5	105.8	3.9
2000-11-01	-0.46	1.5426	8.2774	0.8552	1551	96.1276	34.42	3.8	16.6	107.6	3.9
2000-12-01	-0.45	1.5219	8.2771	0.8983	1532	95.8441	28.44	3.5	16.2	98.4	3.9
2001-01-01	-1.17	1.5032	8.2776	0.9376	1600	95.1747	29.59	4.0	17.7	94.7	4.2
2001-02-01	-0.96	1.5216	8.2771	0.9205	1625	94.5581	29.61	4.1	17.8	90.6	4.2
2001-03-01	-1.09	1.5587	8.2775	0.9083	1590	94.2954	27.25	4.5	17.2	91.5	4.3
2001-04-01	-1.41	1.5578	8.2771	0.8925	1649	94.0294	27.49	4.3	16.9	88.4	4.4
2001-05-01	-0.93	1.5411	8.2770	0.8753	1605	93.3526	28.63	3.7	16.9	92.0	4.3
2001-06-01	-1.54	1.5245	8.2770	0.8530	1636	92.7435	27.60	3.7	17.5	92.6	4.5
2001-07-01	-0.88	1.5308	8.2769	0.8615	1670	92.2490	26.43	5.0	16.5	92.4	4.6
2001-08-01	-0.98	1.5399	8.2770	0.9014	1567	92.0500	27.37	6.1	16.3	91.5	4.9
2001-09-01	-1.48	1.5679	8.2768	0.9114	1562	91.7355	26.20	6.3	16.4	81.8	5.0
2001-10-01	-1.09	1.5717	8.2768	0.9050	1540	91.3042	22.17	2.7	22.1	82.7	5.3
2001-11-01	-1.32	1.5922	8.2769	0.8883	1602	90.8141	19.64	3.4	18.0	83.9	5.5
2001-12-01	-0.55	1.5788	8.2764	0.8912	1568	90.8243	19.39	3.8	16.5	88.8	5.7
2002-01-01	-0.31	1.5997	8.2771	0.8832	1698	91.4030	19.72	5.6	16.5	93.0	5.7
2002-02-01	-0.30	1.5964	8.2767	0.8707	1829	91.4020	20.72	5.3	17.3	90.7	5.7
2002-03-01	-0.17	1.5877	8.2773	0.8766	1642	92.1252	24.53	5.3	17.1	95.7	5.7
2002-04-01	-0.01	1.5815	8.2772	0.8860	1592	92.5335	26.18	5.1	17.7	93.0	5.9
2002-05-01	0.01	1.5502	8.2770	0.9170	1764	92.9145	27.04	5.6	16.2	96.9	5.8
2002-06-01	0.39	1.5318	8.2767	0.9561	1717	93.8071	25.52	5.4	16.9	92.4	5.8
2002-07-01	-0.58	1.5456	8.2768	0.9935	1655	93.5978	26.97	4.6	18.2	88.1	5.8
2002-08-01	-0.23	1.5694	8.2767	0.9781	1633	93.6123	28.39	4.4	18.4	87.6	5.7
2002-09-01	-0.39	1.5761	8.2770	0.9806	1804	93.7211	29.66	4.9	16.7	86.1	5.7
2002-10-01	-0.61	1.5780	8.2772	0.9812	1648	93.4327	28.84	4.7	16.3	80.6	5.7
2002-11-01	-0.03	1.5715	8.2772	1.0013	1753	93.9229	26.35	4.7	16.5	84.2	5.9
2002-12-01	-0.98	1.5592	8.2777	1.0194	1788	93.4505	29.46	4.5	17.9	86.7	6.0
2003-01-01	0.44	1.5414	8.2775	1.0622	1853	94.0868	32.95	4.5	16.7	82.4	5.8
2003-02-01	-0.67	1.5121	8.2780	1.0785	1629	94.3655	35.83	4.8	16.1	79.9	5.9
2003-03-01	-0.49	1.4761	8.2773	1.0797	1726	94.1543	33.51	4.6	16.5	77.6	5.9
2003-04-01	-1.06	1.4582	8.2772	1.0862	1643	93.4440	28.17	4.6	16.7	86.0	6.0
2003-05-01	-0.15	1.3840	8.2769	1.1556	1751	93.4875	28.11	5.1	16.5	92.1	6.1
2003-06-01	-0.03	1.3525	8.2771	1.1674	1867	93.5856	30.66	4.9	17.0	89.7	6.3
2003-07-01	0.06	1.3821	8.2773	1.1365	1897	94.0002	30.76	5.5	17.1	90.9	6.2
2003-08-01	-0.42	1.3963	8.2770	1.1155	1833	93.8015	31.57	5.3	18.3	89.3	6.1
2003-09-01	0.45	1.3634	8.2772	1.1267	1939	94.3862	28.31	4.5	17.3	87.7	6.1
2003-10-01	0.16	1.3221	8.2768	1.1714	1967	94.4645	30.34	4.6	16.5	89.6	6.0
2003-11-01	0.69	1.3130	8.2769	1.1710	2083	95.2175	31.11	4.7	17.6	93.7	5.8
2003-12-01	0.00	1.3128	8.2770	1.2298	2057	95.1269	32.13	4.8	17.4	92.6	5.7
2004-01-01	0.07	1.2958	8.2770	1.2638	1911	95.3012	34.31	4.5	16.7	103.8	5.7
2004-02-01	0.47	1.3299	8.2771	1.2640	1846	95.8359	34.69	4.5	17.0	94.4	5.6
2004-03-01	0.57	1.3286	8.2771	1.2261	1998	95.3155	36.74	4.5	17.2	95.8	5.8
2004-04-01	0.25	1.3420	8.2769	1.1989	2003	95.6825	36.75	4.7	16.9	94.2	5.6
2004-05-01	0.81	1.3789	8.2771	1.2000	1981	96.4212	40.28	4.7	18.2	90.2	5.6
2004-06-01	-0.40	1.3578	8.2767	1.2146	1828	95.6445	38.03	5.0	16.2	95.6	5.6
2004-07-01	0.63	1.3225	8.2767	1.2266	2002	96.3852	40.78	4.6	17.3	96.7	5.5
2004-08-01	0.30	1.3127	8.2768	1.2191	2024	96.4450	44.90	4.6	17.2	95.9	5.4
2004-09-01	0.15	1.2881	8.2767	1.2224	1905	96.5044	45.94	3.9	17.9	94.2	5.4
2004-10-01	0.67	1.2469	8.2765	1.2507	2072	97.4167	53.28	3.8	17.5	91.7	5.5
2004-11-01	0.00	1.1968	8.2765	1.2997	1782	97.6225	48.47	3.5	17.4	92.8	5.4
2004-12-01	0.91	1.2189	8.2765	1.3406	2042	98.3132	43.15	6.3	18.1	97.1	5.4
2005-01-01	0.32	1.2248	8.2765	1.3123	2144	98.7886	46.84	3.2	16.9	95.5	5.3
2005-02-01	0.54	1.2401	8.2765	1.3013	2207	99.4359	48.15	2.9	16.9	94.1	5.4
2005-03-01	-0.33	1.2160	8.2765	1.3185	1864	99.3247	54.19	2.9	17.4	92.6	5.2
2005-04-01	0.72	1.2359	8.2765	1.2943	2061	99.4595	52.98	2.2	17.8	87.7	5.2
2005-05-01	0.01	1.2555	8.2765	1.2697	2025	99.6415	49.83	3.0	17.4	86.9	5.1
2005-06-01	0.47	1.2402	8.2765	1.2155	2068	100.0262	56.35	2.3	18.5	96.0	5.0
2005-07-01	-0.05	1.2229	8.2264	1.2041	2054	99.7447	59.00	1.9	21.1	96.5	5.0
2005-08-01	0.27	1.2043	8.1017	1.2295	2095	99.9372	64.99	2.4	17.4	89.1	4.9
2005-09-01	-0.85	1.1777	8.0919	1.2234	2151	98.0478	65.59	2.3	16.9	76.9	5.0
2005-10-01	0.94	1.1774	8.0895	1.2022	2065	99.3189	62.26	2.6	15.3	74.2	5.0
2005-11-01	0.90	1.1815	8.0840	1.1789	2147	100.2981	58.32	2.7	16.5	81.6	5.0
2005-12-01	0.45	1.1615	8.0755	1.1861	1994	100.8948	59.41	2.8	17.2	91.5	4.9
2006-01-01	0.63	1.1572	8.0654	1.2126	2273	101.0256	65.49	3.8	18.1	91.2	4.7
2006-02-01	0.15	1.1489	8.0512	1.1940	2119	100.9981	61.63	3.8	17.1	86.7	4.8
2006-03-01	0.33	1.1573	8.0350	1.2028	1969	101.2658	62.69	3.8	17.0	88.9	4.7
2006-04-01	-0.08	1.1441	8.0143	1.2273	1821	101.6644	69.44	3.4	17.1	87.4	4.7
2006-05-01	-0.16	1.1100	8.0131	1.2767	1942	101.5254	70.84	3.2	16.7	79.1	4.6
2006-06-01	0.03	1.1137	8.0042	1.2661	1802	101.9173	70.95	3.4	16.9	84.9	4.6
2006-07-01	-0.37	1.1294	7.9897	1.2681	1737	101.8981	74.41	2.9	17.7	84.7	4.7
2006-08-01	0.24	1.1182	7.9722	1.2810	1650	102.2520	73.04	3.0	16.5	82.0	4.7
2006-09-01	-0.10	1.1161	7.9334	1.2722	1720	102.1093	63.80	3.0	17.0	85.4	4.5
2006-10-01	-0.35	1.1285	7.9018	1.2617	1491	102.0843	58.89	3.1	16.9	93.6	4.4
2006-11-01	-0.18	1.1359	7.8622	1.2888	1570	101.9683	59.08	3.2	16.7	92.1	4.5
2006-12-01	0.88	1.1532	7.8219	1.3205	1649	102.9751	61.96	3.0	17.1	91.7	4.4
2007-01-01	-0.76	1.1763	7.7876	1.2993	1409	102.4954	54.51	3.0	16.9	96.9	4.6
2007-02-01	0.27	1.1710	7.7502	1.3080	1480	103.6101	59.28	3.3	17.2	91.3	4.5
2007-03-01	0.21	1.1682	7.7369	1.3246	1495	103.7575	60.44	3.6	16.4	88.4	4.4
2007-04-01	-0.17	1.1350	7.7247	1.3513	1490	104.5126	63.98	3.2	16.6	87.1	4.5
2007-05-01	0.00	1.0951	7.6773	1.3518	1415	104.5640	63.46	3.0	16.7	88.3	4.4
2007-06-01	-0.25	1.0651	7.6333	1.3421	1448	104.5525	67.49	2.8	16.2	85.3	4.6
2007-07-01	-0.47	1.0502	7.5757	1.3726	1354	104.5442	74.12	2.8	15.8	90.4	4.7
2007-08-01	-0.35	1.0579	7.5734	1.3626	1330	104.7213	72.36	2.6	16.4	83.4	4.6
2007-09-01	-0.18	1.0267	7.5210	1.3910	1183	105.0936	79.92	2.8	16.5	83.4	4.7
2007-10-01	-0.73	0.9754	7.5019	1.4233	1264	104.5370	85.80	2.8	16.5	80.9	4.7
2007-11-01	-0.07	0.9672	7.4210	1.4683	1197	105.1581	94.77	2.5	16.4	76.1	4.7
2007-12-01	-0.65	1.0021	7.3682	1.4559	1037	105.1322	91.69	3.0	16.0	75.5	5.0
2008-01-01	-0.55	1.0099	7.2405	1.4728	1084	104.8595	92.97	3.3	15.7	78.4	5.0
2008-02-01	-1.19	0.9986	7.1644	1.4759	1103	104.5926	95.39	3.8	15.5	70.8	4.9
2008-03-01	-1.29	1.0029	7.0722	1.5520	1005	104.2989	105.45	3.9	15.1	69.5	5.1
2008-04-01	-1.12	1.0137	6.9997	1.5754	1013	103.5300	112.58	3.5	14.6	62.6	5.0
2008-05-01	-1.28	0.9993	6.9725	1.5554	973	103.0519	125.40	7.9	14.7	59.8	5.4
2008-06-01	-1.20	1.0166	6.8993	1.5562	1046	102.8476	133.88	5.5	14.4	56.4	5.6
2008-07-01	-1.81	1.0130	6.8355	1.5759	923	102.3093	133.37	4.4	13.0	61.2	5.8
2008-08-01	-2.07	1.0535	6.8462	1.4955	844	100.7832	116.67	3.7	14.1	63.0	6.1
2008-09-01	-3.65	1.0582	6.8307	1.4342	820	96.4822	104.11	4.4	13.0	70.3	6.1
2008-10-01	-1.92	1.1847	6.8358	1.3266	777	97.3647	76.61	5.4	10.9	57.6	6.5
2008-11-01	-3.55	1.2171	6.8281	1.2744	652	96.1487	57.31	6.2	10.5	55.3	6.8
2008-12-01	-4.22	1.2337	6.8539	1.3511	560	93.3954	41.12	6.4	10.4	60.1	7.3
2009-01-01	-4.66	1.2248	6.8360	1.3244	490	91.2227	41.71	6.4	9.8	61.2	7.8
2009-02-01	-2.37	1.2452	6.8363	1.2797	582	90.6371	39.09	5.9	9.2	56.3	8.3
2009-03-01	-3.67	1.2645	6.8360	1.3050	505	89.2352	47.94	6.1	9.8	57.3	8.7
2009-04-01	-2.66	1.2242	6.8306	1.3199	478	88.4857	49.65	6.7	9.4	65.1	9.0
2009-05-01	-2.17	1.1528	6.8235	1.3646	540	87.5811	59.03	8.1	10.2	68.7	9.4
2009-06-01	-1.69	1.1264	6.8334	1.4014	585	87.2140	69.64	6.6	10.1	70.8	9.5
2009-07-01	-0.06	1.1229	6.8317	1.4092	594	88.1641	64.15	6.0	11.6	66.0	9.5
2009-08-01	-0.40	1.0872	6.8323	1.4266	586	89.1190	71.05	4.9	14.8	65.7	9.6
2009-09-01	-0.54	1.0816	6.8277	1.4575	585	89.7943	69.41	5.9	9.5	73.5	9.8
2009-10-01	-0.62	1.0547	6.8267	1.4821	534	90.1731	75.72	5.4	10.6	70.6	10.0
2009-11-01	-0.10	1.0593	6.8271	1.4908	588	90.4311	77.99	5.7	11.0	67.4	9.9
2009-12-01	-0.68	1.0537	6.8275	1.4579	581	90.7512	74.47	5.7	11.3	72.5	9.9
2010-01-01	0.19	1.0438	6.8269	1.4266	614	91.8162	78.33	5.6	10.9	74.4	9.8
2010-02-01	-0.61	1.0572	6.8285	1.3680	604	92.0991	76.39	5.2	10.3	73.6	9.8
2010-03-01	0.53	1.0229	6.8262	1.3570	636	92.7191	81.20	5.0	11.8	73.6	9.9
2010-04-01	0.57	1.0052	6.8256	1.3417	687	93.0609	84.29	5.6	11.5	72.2	9.9
2010-05-01	0.54	1.0403	6.8275	1.2563	583	94.4844	73.74	6.0	12.0	73.6	9.6
2010-06-01	-0.25	1.0376	6.8184	1.2223	536	94.6828	75.34	5.9	11.6	76.0	9.4
2010-07-01	0.26	1.0422	6.7762	1.2811	546	95.1542	76.32	5.9	11.9	67.8	9.4
2010-08-01	-0.20	1.0404	6.7873	1.2903	599	95.4866	76.60	5.8	12.0	68.9	9.5
2010-09-01	-0.25	1.0330	6.7396	1.3103	594	95.7150	75.24	5.6	11.9	68.2	9.5
